ORDERLINENUMBER,ORDERNUMBER,QUANTITYORDERED,Cost Per Unit,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,Profit
1,10251,46,100,7552,18/05/2004,Shipped,2,5,2004,Motorcycles,150,S12_2823,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,NJ,94019,USA,Not Mentioned,Brown,William,Large,2952
1,10167,43,100,5764,23/10/2003,Cancelled,4,10,2003,Planes,157,S18_1662,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Medium,1464
1,10345,43,54,2312,25/11/2004,Shipped,4,11,2004,Vintage Cars,44,S24_2022,Atelier graphique,40.32.2555,"54, rue Royale",Nantes,,44000,France,EMEA,Schmitt,Carine,Small,-10
1,10270,32,86,2743,19/07/2004,Shipped,3,7,2004,Trucks and Buses,96,S32_1268,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,-9
1,10201,25,100,4029,01/12/2003,Shipped,4,12,2003,Motorcycles,150,S12_2823,Mini Wheels Co.,6505555787,5557 North Pendale Street,San Francisco,CA,Not Mentioned,USA,Not Mentioned,Murphy,Julie,Medium,1529
1,10189,28,100,4512,18/11/2003,Shipped,4,11,2003,Motorcycles,150,S12_2823,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,Not Mentioned,Young,Julie,Medium,1712
1,10391,24,100,4042,09/03/2005,Shipped,1,3,2005,Vintage Cars,44,S24_2022,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Medium,1642
1,10227,33,100,3667,02/03/2004,Shipped,1,3,2004,Vintage Cars,99,S18_3320,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,,69004,France,EMEA,Saveley,Mary,Medium,367
1,10367,49,56,2759,12/01/2005,Resolved,1,1,2005,Classic Cars,124,S18_1589,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,Not Mentioned,Young,Julie,Small,15
1,10411,26,100,2905,01/05/2005,Shipped,2,5,2005,Trucks and Buses,96,S32_1268,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Montreal,Quebec,H1J 1C3,Canada,Not Mentioned,Fresnisre,Jean,Small,305
1,10221,49,100,6805,18/02/2004,Shipped,1,2,2004,Ships,122,S24_2011,Petit Auto,(02) 5554 67,Rue Joseph-Bens 532,Bruxelles,,B-1180,Belgium,EMEA,Dewey,Catherine,Medium,1905
1,10133,23,100,2642,27/06/2003,Shipped,2,6,2003,Motorcycles,99,S32_1374,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,EMEA,Freyre,Diego,Small,342
1,10191,40,100,5590,20/11/2003,Shipped,4,11,2003,Classic Cars,117,S12_3380,"Toms Spezialitten, Ltd",0221-5554327,Mehrheimerstr. 369,Koln,,50739,Germany,EMEA,Pfalzheim,Henriette,Medium,1590
1,10240,37,100,5959,13/04/2004,Shipped,2,4,2004,Classic Cars,141,S18_3685,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium,2259
1,10327,21,96,2023,10/11/2004,Resolved,4,11,2004,Ships,72,S700_2610,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,Small,7
1,10243,33,30,975,26/04/2004,Shipped,2,4,2004,Vintage Cars,33,S24_1937,Diecast Collectables,6175552555,6251 Ingle Ln.,Boston,MA,51003,USA,Not Mentioned,Franco,Valarie,Small,-15
1,10288,29,38,1107,01/09/2004,Shipped,3,9,2004,Vintage Cars,33,S24_1937,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,,69045,Singapore,APAC,Victorino,Wendy,Small,5
1,10306,43,75,3232,14/10/2004,Shipped,4,10,2004,Ships,72,S700_2610,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,,EC2 5NT,UK,EMEA,Ashworth,Victoria,Medium,7
1,10409,61,30,1802,23/04/2005,Shipped,2,4,2005,Vintage Cars,33,S24_1937,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,,69045,Singapore,APAC,Victorino,Wendy,Small,-28
1,10420,45,27,1210,29/05/2005,In Process,2,5,2005,Vintage Cars,33,S24_1937,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,-5
1,10253,24,100,3375,01/06/2004,Cancelled,2,6,2004,Classic Cars,124,S18_1589,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Medium,975
1,10103,36,100,3680,29/01/2003,Shipped,1,1,2003,Trucks and Buses,127,S24_2300,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,80
1,10158,22,67,1475,10/10/2003,Shipped,4,10,2003,Motorcycles,76,S24_2000,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Small,1
1,10324,27,54,1467,05/11/2004,Shipped,4,11,2004,Classic Cars,151,S12_3148,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,NY,10022,USA,Not Mentioned,Frick,Michael,Small,9
1,10337,31,89,2771,21/11/2004,Shipped,4,11,2004,Ships,100,S700_3505,Classic Legends Inc.,2125558493,5905 Pompton St.,NYC,NY,10022,USA,Not Mentioned,Hernandez,Maria,Small,12
1,10250,32,88,2803,11/05/2004,Shipped,2,5,2004,Motorcycles,76,S24_2000,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,San Jose,CA,94217,USA,Not Mentioned,Frick,Sue,Small,-13
1,10297,32,66,2096,16/09/2004,Shipped,3,9,2004,Motorcycles,76,S24_2000,"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Dublin,,2,Ireland,EMEA,Cassidy,Dean,Small,-16
1,10230,43,100,7016,15/03/2004,Shipped,1,3,2004,Classic Cars,151,S12_3148,"Blauer See Auto, Co.",+49 69 66 90 2555,Lyonerstr. 34,Frankfurt,,60528,Germany,EMEA,Keitel,Roland,Large,2716
1,10390,50,100,7397,04/03/2005,Shipped,1,3,2005,Classic Cars,146,S18_3482,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,Not Mentioned,Nelson,Valarie,Large,2397
1,10416,32,88,2803,10/05/2005,Shipped,2,5,2005,Motorcycles,76,S24_2000,L'ordine Souveniers,0522-556555,Strada Provinciale 124,Reggio Emilia,,42100,Italy,EMEA,Moroni,Maurizio,Small,-13
1,10265,49,100,8427,02/07/2004,Shipped,3,7,2004,Classic Cars,146,S18_3482,"Australian Collectables, Ltd",61-9-3844-6555,7 Allen Street,Glen Waverly,Victoria,3150,Australia,APAC,Connery,Sean,Large,3527
1,10252,41,100,6750,26/05/2004,Shipped,2,5,2004,Classic Cars,146,S18_3482,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Paris,,75016,France,EMEA,Perrier,Dominique,Medium,2650
1,10235,41,100,4177,02/04/2004,Shipped,2,4,2004,Motorcycles,99,S32_1374,"Royal Canadian Collectables, Ltd.",(604) 555-4555,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,Not Mentioned,Lincoln,Elizabeth,Medium,77
1,10238,29,100,3167,09/04/2004,Shipped,2,4,2004,Classic Cars,117,S12_3380,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,Medium,267
1,10126,27,100,3416,28/05/2003,Shipped,2,5,2003,Trucks and Buses,127,S24_2300,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Madrid,,28023,Spain,EMEA,Sommer,Mart¡n,Medium,716
1,10140,47,100,5105,24/07/2003,Shipped,3,7,2003,Trucks and Buses,127,S24_2300,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,USA,Not Mentioned,Hirano,Juri,Medium,405
1,10400,34,100,6434,01/04/2005,Shipped,2,4,2005,Planes,157,S18_1662,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,San Jose,CA,94217,USA,Not Mentioned,Frick,Sue,Medium,3034
1,10143,34,37,1246,10/08/2003,Shipped,3,8,2003,Vintage Cars,43,S50_1341,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,New Bedford,MA,50553,USA,Not Mentioned,Tam,Wing C,Small,-12
1,10156,20,41,820,08/10/2003,Shipped,4,10,2003,Vintage Cars,43,S50_1341,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,EMEA,Freyre,Diego,Small,0
1,10395,33,69,2281,17/03/2005,Shipped,1,3,2005,Classic Cars,207,S12_1108,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,,75508,France,EMEA,Da Cunha,Daniel,Small,4
1,10294,45,100,4693,10/09/2004,Shipped,3,9,2004,Ships,99,S700_3962,Online Mini Collectables,6175557555,7635 Spinnaker Dr.,Brickhaven,MA,58339,USA,Not Mentioned,Barajas,Miguel,Medium,193
1,10199,29,38,1114,01/12/2003,Shipped,4,12,2003,Vintage Cars,43,S50_1341,West Coast Collectables Co.,3105553722,3675 Furth Circle,Burbank,CA,94019,USA,Not Mentioned,Thompson,Steve,Small,12
1,10299,32,81,2587,30/09/2004,Shipped,3,9,2004,Classic Cars,80,S24_4620,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Small,-5
1,10264,47,83,3914,30/06/2004,Shipped,2,6,2004,Classic Cars,80,S24_4620,Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,Boston,MA,51003,USA,Not Mentioned,Yoshido,Juri,Medium,13
1,10172,22,75,1639,05/11/2003,Shipped,4,11,2003,Classic Cars,90,S24_2766,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,CT,97562,USA,Not Mentioned,King,Julie,Small,-11
1,10375,33,100,3857,03/02/2005,Shipped,1,2,2005,Planes,99,S700_2466,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,,44000,France,EMEA,Labrune,Janine,Medium,557
1,10212,45,88,3966,16/01/2004,Shipped,1,1,2004,Classic Cars,90,S24_2766,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,6
1,10296,26,48,1259,15/09/2004,Shipped,3,9,2004,Vintage Cars,43,S50_1341,"Bavarian Collectables Imports, Co.",+49 89 61 08 9555,Hansastr. 15,Munich,,80686,Germany,EMEA,Donnermeyer,Michael,Small,11
1,10165,50,100,5344,22/10/2003,Shipped,4,10,2003,Trains,100,S18_3259,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,,79903,Singapore,Japan,Natividad,Eric,Medium,344
1,10302,43,100,7310,06/10/2003,Shipped,4,10,2003,Vintage Cars,170,S18_1749,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Large,3010
1,10405,55,100,8289,14/04/2005,Shipped,2,4,2005,Classic Cars,169,S18_3232,Mini Caravy,88.60.1555,"24, place Kluber",Strasbourg,,67000,France,EMEA,Citeaux,Frederique,Large,2789
1,10344,45,100,7650,25/11/2004,Shipped,4,11,2004,Vintage Cars,170,S18_1749,Marseille Mini Autos,91.24.4555,"12, rue des Bouchers",Marseille,,13008,France,EMEA,Lebihan,Laurence,Large,3150
1,10321,30,73,2181,04/11/2004,Shipped,4,11,2004,Classic Cars,90,S24_2766,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,MA,50553,USA,Not Mentioned,Benitez,Violeta,Small,-9
1,10346,25,100,2877,29/11/2004,Shipped,4,11,2004,Classic Cars,90,S24_2766,Signal Gift Stores,7025551838,8489 Strong St.,Las Vegas,NV,83030,USA,Not Mentioned,King,Sue,Small,377
1,10388,27,100,3211,03/03/2005,Shipped,1,3,2005,Vintage Cars,43,S50_1341,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,MA,50553,USA,Not Mentioned,Benitez,Violeta,Medium,511
1,10330,42,81,3403,16/11/2004,Shipped,4,11,2004,Motorcycles,69,S24_2360,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,,1227 MM,Philippines,Japan,Cruz,Arnold,Medium,1
1,10154,36,64,2316,02/10/2003,Shipped,4,10,2003,Ships,72,S700_2610,Boards & Toys Co.,3105552373,4097 Douglas Av.,Glendale,CA,92561,USA,Not Mentioned,Young,Leslie,Small,12
1,10424,46,81,3722,31/05/2005,In Process,2,5,2005,Classic Cars,101,S700_2824,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,-4
1,10174,43,100,6817,06/11/2003,Shipped,4,11,2003,Trucks and Buses,136,S12_1666,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium,2517
1,10107,21,100,3037,24/02/2003,Shipped,1,2,2003,Motorcycles,150,S12_2823,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,Not Mentioned,Yu,Kwai,Medium,937
1,10245,37,100,4134,04/05/2004,Shipped,2,5,2004,Trucks and Buses,96,S32_1268,Super Scale Inc.,2035559545,567 North Pendale Street,New Haven,CT,97823,USA,Not Mentioned,Murphy,Leslie,Medium,434
1,10194,49,100,5761,25/11/2003,Shipped,4,11,2003,Trucks and Buses,127,S24_2300,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,,69004,France,EMEA,Saveley,Mary,Medium,861
1,10186,32,100,6005,14/11/2003,Shipped,4,11,2003,Planes,157,S18_1662,"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.,London,,WA1 1DP,UK,EMEA,Hardy,Thomas,Medium,2805
1,10381,20,100,2952,17/02/2005,Shipped,1,2,2005,Trucks and Buses,136,S12_1666,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,Not Mentioned,USA,Not Mentioned,Brown,Julie,Small,952
1,10217,28,100,3149,04/02/2004,Shipped,1,2,2004,Trucks and Buses,127,S24_2300,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,,69045,Singapore,APAC,Victorino,Wendy,Medium,349
1,10182,33,86,2848,12/11/2003,Shipped,4,11,2003,Vintage Cars,99,S18_3320,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,Not Mentioned,Nelson,Valarie,Small,10
1,10164,24,100,2635,21/10/2003,Resolved,4,10,2003,Trucks and Buses,96,S32_1268,Mini Auto Werke,7675-3555,Kirchgasse 6,Graz,,8010,Austria,EMEA,Mendel,Roland,Small,235
1,10291,48,100,5398,08/09/2004,Shipped,3,9,2004,Trucks and Buses,127,S24_2300,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Medium,598
1,10134,20,100,2711,01/07/2003,Shipped,3,7,2003,Motorcycles,150,S12_2823,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,,75508,France,EMEA,Da Cunha,Daniel,Small,711
1,10233,29,82,2390,29/03/2004,Shipped,1,3,2004,Ships,72,S700_2610,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,NJ,94019,USA,Not Mentioned,Brown,William,Small,12
1,10348,37,100,5981,01/11/2004,Shipped,4,11,2004,Trucks and Buses,127,S24_2300,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Madrid,,28023,Spain,EMEA,Sommer,Mart¡n,Medium,2281
1,10274,41,100,6724,21/07/2004,Shipped,3,7,2004,Planes,157,S18_1662,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Brickhaven,MA,58339,USA,Not Mentioned,Nelson,Allen,Medium,2624
1,10185,39,58,2255,14/11/2003,Shipped,4,11,2003,Ships,72,S700_2610,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,New Bedford,MA,50553,USA,Not Mentioned,Tam,Wing C,Small,-7
1,10319,46,74,3403,03/11/2004,Shipped,4,11,2004,Classic Cars,80,S18_3278,Microscale Inc.,2125551957,5290 North Pendale Street,NYC,NY,10022,USA,Not Mentioned,Kuo,Kee,Medium,-1
1,10307,39,100,7380,14/10/2004,Shipped,4,10,2004,Planes,157,S18_1662,"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,PA,71270,USA,Not Mentioned,Cervantes,Francisca,Large,3480
1,10177,32,77,2452,07/11/2003,Shipped,4,11,2003,Ships,72,S700_2610,CAF Imports,+34 913 728 555,"Merchants House, 27-30 Merchant's Quay",Madrid,,28023,Spain,EMEA,Fernandez,Jesus,Small,-12
1,10216,43,100,5759,02/02/2004,Shipped,1,2,2004,Trucks and Buses,136,S12_1666,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",Versailles,,78000,France,EMEA,Tonini,Daniel,Medium,1459
1,10338,41,100,5625,22/11/2004,Shipped,4,11,2004,Planes,157,S18_1662,Royale Belge,(071) 23 67 2555,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,EMEA,Cartrain,Pascale,Medium,1525
1,10343,30,100,3099,24/11/2004,Shipped,4,11,2004,Classic Cars,80,S24_4620,Reims Collectables,26.47.1555,59 rue de l'Abbaye,Reims,,51100,France,EMEA,Henriot,Paul,Medium,99
1,10208,46,74,3425,02/01/2004,Shipped,1,1,2004,Ships,72,S700_2610,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,,69004,France,EMEA,Saveley,Mary,Medium,21
1,10180,28,71,1992,11/11/2003,Shipped,4,11,2003,Classic Cars,80,S24_4620,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Lille,,59000,France,EMEA,Rance,Martine,Small,4
1,10422,25,52,1294,30/05/2005,In Process,2,5,2005,Vintage Cars,53,S18_1367,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,PA,70267,USA,Not Mentioned,Yu,Kyung,Small,-6
1,10232,48,96,4616,20/03/2004,Shipped,1,3,2004,Ships,100,S700_3505,giftsbymail.co.uk,(198) 555-8888,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,EMEA,Bennett,Helen,Medium,8
1,10213,38,95,3602,22/01/2004,Shipped,1,1,2004,Vintage Cars,92,S18_4409,"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.,London,,WA1 1DP,UK,EMEA,Hardy,Thomas,Medium,-8
1,10267,36,76,2720,07/07/2004,Shipped,3,7,2004,Classic Cars,71,S18_4933,Muscle Machine Inc,2125557413,4092 Furth Circle,NYC,NY,10022,USA,Not Mentioned,Young,Jeff,Small,-16
1,10279,26,61,1575,09/08/2004,Shipped,3,8,2004,Classic Cars,71,S18_4933,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,EMEA,Freyre,Diego,Small,-11
1,10365,30,87,2612,07/01/2005,Shipped,1,1,2005,Classic Cars,141,S18_1129,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,New Bedford,MA,50553,USA,Not Mentioned,Tam,Wing C,Small,2
1,10304,40,100,4208,11/10/2004,Shipped,4,10,2004,Classic Cars,101,S700_2824,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",Versailles,,78000,France,EMEA,Tonini,Daniel,Medium,208
1,10397,34,62,2116,28/03/2005,Shipped,1,3,2005,Ships,54,S72_3212,Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine,Toulouse,,31000,France,EMEA,Roulet,Annette,Small,8
1,10148,34,100,3598,11/09/2003,Shipped,3,9,2003,Vintage Cars,92,S18_4409,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Medium,198
1,10394,37,100,6377,15/03/2005,Shipped,1,3,2005,Classic Cars,143,S18_4027,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,2677
1,10383,38,100,5341,22/02/2005,Shipped,1,2,2005,Classic Cars,143,S18_4027,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,1541
1,10226,21,60,1265,26/02/2004,Shipped,1,2,2004,Classic Cars,73,S24_1046,Collectable Mini Designs Co.,7605558146,361 Furth Circle,San Diego,CA,91217,USA,Not Mentioned,Thompson,Valarie,Small,5
1,10281,41,100,5247,19/08/2004,Shipped,3,8,2004,Trucks and Buses,118,S12_4473,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,PA,70267,USA,Not Mentioned,Yu,Kyung,Medium,1147
1,10301,27,72,1945,05/10/2003,Shipped,4,10,2003,Classic Cars,73,S24_1046,"Norway Gifts By Mail, Co.",+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",Oslo,,N 0106,Norway,EMEA,Klaeboe,Jan,Small,1
1,10125,32,100,3255,21/05/2003,Shipped,2,5,2003,Vintage Cars,102,S18_1342,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,55
1,10229,36,100,4522,11/03/2004,Shipped,1,3,2004,Trucks and Buses,118,S12_4473,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,Not Mentioned,Nelson,Valarie,Medium,922
1,10207,40,100,6147,09/12/2003,Shipped,4,12,2003,Classic Cars,143,S18_4027,Diecast Collectables,6175552555,6251 Ingle Ln.,Boston,MA,51003,USA,Not Mentioned,Franco,Valarie,Medium,2147
1,10175,26,100,3543,06/11/2003,Shipped,4,11,2003,Trucks and Buses,118,S12_4473,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,London,,WX3 6FW,UK,EMEA,Brown,Ann,Medium,943
1,10152,35,100,4524,25/09/2003,Shipped,3,9,2003,Classic Cars,143,S18_4027,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium,1024
1,10259,28,47,1311,15/06/2004,Shipped,2,6,2004,Classic Cars,57,S24_1444,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,,69045,Singapore,APAC,Victorino,Wendy,Small,-5
1,10258,45,81,3641,15/06/2004,Shipped,2,6,2004,Classic Cars,101,S700_2824,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Medium,-4
1,10313,38,45,1727,22/10/2004,Shipped,4,10,2004,Trucks and Buses,54,S32_2509,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada,Not Mentioned,Tannamuri,Yoshi,Small,17
1,10161,25,81,2014,17/10/2003,Shipped,4,10,2003,Classic Cars,71,S18_4933,Heintze Collectables,86 21 3555,Smagsloget 45,Aaarhus,,8200,Denmark,EMEA,Ibsen,Palle,Small,-11
1,10113,23,69,1576,26/03/2003,Shipped,1,3,2003,Trucks and Buses,64,S32_3522,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,Not Mentioned,Nelson,Valarie,Small,-11
1,10311,41,82,3358,16/10/2004,Shipped,4,10,2004,Vintage Cars,92,S18_4409,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,-4
